CourseName,Description
ACE 346,"Credit: 3 hours.
Course Description: Explores the federal tax system, including income, social security, Medicare, and estate taxes, and state and local tax systems. Students learn basic tax principles, public policy issues embedded in the tax systems, and how tax law influences financial plans and decisions. Helps students make wiser financial decisions through increased understanding of the tax impacts of those decisions, participate knowledgeably in public debates surrounding tax policy, and prepare for careers as financial planners.
Prerequisite: Sophomore standing."
STAT 430,"Credit: 3 OR 4 hours.
Course Description: Formulation and analysis of mathematical models for random phenomena; extensive involvement with the analysis of real data; and instruction in statistical and computing techniques as needed.
Prerequisite: STAT 410; STAT 425. Some topics may require additional prerequisites. Read the section text for each topic."
PSYC 358,"Credit: 4 hours.
Course Description: 
"
ANTH 277,
ACCY 555,
LAS 199,"Credit: .5 to 5 hours.
Course Description: Topics will vary. See class schedule.
"
AE 483,"Credit: 2 hours.
Course Description: Theory and application of experimental techniques in aerospace engineering with emphasis on autonomous systems.
Prerequisite: AE 202, AE 352, AE 353, AE 370, and PHYS 212."
GEOG 479,
AFRO 132,"Credit: 3 hours.
Course Description: Survey of African American music, from its origins to the present with a focus on understanding details of musical performance and the ways in which music interacts with its social and political context. Examines genres such as spirituals, the blues, jazz, R&B, soul, and hip-hop. No previous musical background is necessary.
"
ARCH 403,"Credit: 3 hours.
Course Description: Special topics in Architectural History courses. Topics and subject matter to be published in course listings.
Prerequisite: ARCH 210 or consent of instructor."
ARTH 433/MDVL 433,
ANSC 542/IB 506,
LER 590,"Credit: 0 TO 8 hours.
Course Description: Students in labor and industrial relations may register for this unit with the consent of the curriculum adviser and the adviser under whom the student will perform individual study or research. Such individual work may include special study in a subject matter for which no course is available or an individual research project, including on-the-job research in industry, which is not being undertaken for a thesis.
"
CEE 585,"Credit: 4 hours.
Course Description: Ultimate capacities and load-deflection of piles and drilled shafts subjected to compressive loads, tensile loads, and lateral loads; effects of duration of load, soil-structure interaction; two- and three-dimensional analysis of pile groups with closely-spaced piles; effects of installation; inspection of deep foundations and full-scale field tests.
Prerequisite: CEE 484."
LEAD 170,
CMN 375,"Credit: 3 hours.
Course Description: Using the critical lens of theories on race, class, gender, and sexuality, this class will investigate the complicated relations among popular media and culture, including how our everyday life and attitudes are thought to be shaped by the media, and how cultural systems can be said to inform the media. By exploring a wide range of media (e.g., film, television, music, the internet, and computer games), students will investigate the national, political, and personal dimensions of popular media and the varied ways in which media construct, reflect and intersect with specific cultural systems, identities, and classifications.
"
RST 503,"Credit: 4 hours.
Course Description: Examines methods and techniques of conducting and evaluating leisure research; experimental and survey designs and procedures; data collection, reduction and analysis.
Prerequisite: RST 100 or equivalent; RST 370 or equivalent; a course in introductory statistics."
LAW 685,"Credit: 2 TO 4 hours.
Course Description: Examination of the limitations, consequences, and costs, as well as the indispensability of some aspects of modern litigation; the possibilities, requirements, and legal problems of consensual and of court-annexed dispute resolution processes alternative to final judicial adjudication, including legal counseling, negotiation, mediation, arbitration, mini-trials, summary trials, summary jury trials, early neutral evaluation, private resolution providers, and settlement processes; current disputes used for illustration.
"
